source_id	target_id	similarity
2784	432639	0.925041041528557
2784	246826	0.920896939293858
2784	328926	0.9094390874519234
2784	400628	0.8975496601820597
2784	90523	0.8939324850196726
2784	414727	0.892313025159849
2784	272195	0.8906243091956134
2784	15418	0.8896392498283927
2784	58313	0.8889834305835128
2784	480018	0.8876096074313113
2784	77053	0.8855113624988773
2784	394317	0.8838223212534194
2784	260767	0.8834139833245161
2784	243027	0.8822616349959514
2784	337519	0.881515048952485
2784	110963	0.8806759302888213
2784	281954	0.8802731291381222
2784	160392	0.8786880526206448
2784	415145	0.8782779333349533
2784	313831	0.877971128985292
12057	19	0.9790323443768671
12057	460560	0.9759035816853077
12057	178184	0.9731275032272264
12057	259131	0.9500318253341482
12057	70568	0.9457036610038869
12057	244537	0.9425232388544909
12057	423701	0.9026879751532043
12057	214322	0.8965901780080804
12057	139892	0.8951272211997094
12057	271520	0.8948327383423252
12057	24168	0.8943096517620045
12057	444517	0.8936173921725671
12057	417027	0.8932878232823919
12057	151418	0.8783816795401029
12057	176020	0.8687443161002694
12057	262194	0.8669262770584903
12057	326187	0.6831702367358651
12057	152353	0.6784390128390877
12057	307516	0.6737920431009766
12057	45941	0.6736493252622822
19620	375715	0.5207457242399545
19620	72413	0.5090177426057054
19620	78496	0.5033784558549681
19620	263936	0.5018626887642588
19620	132431	0.4916770654930825
19620	121786	0.4899677342097158
19620	89227	0.4875856426153188
19620	360646	0.4874709288881377
19620	441274	0.4822502880449944
19620	202146	0.4812490825634931
19620	95253	0.48105738032919954
19620	240175	0.48103121701628315
19620	446030	0.4801363821563392
19620	387822	0.47924059439993244
19620	470997	0.47906859189930384
19620	233979	0.4772771605721211
19620	158999	0.47541010185428406
19620	9481	0.474764126187386
19620	223654	0.4680978734761923
19620	135845	0.46679671731388844
23768	372635	0.7324890553178212
23768	103395	0.7148142497337572
23768	41205	0.7066743853354457
23768	6849	0.6994753828091064
23768	273425	0.6597250534090359
23768	463273	0.6537041063917338
23768	430074	0.6479126709152998
23768	314137	0.6285625407532194
23768	182482	0.6257668618485477
23768	458044	0.6122167056644348
23768	393956	0.606741449200282
23768	324716	0.6026623607799013
23768	276132	0.5963858827503244
23768	431768	0.5898935305459125
23768	441211	0.5879552622544988
23768	425768	0.586304679518697
23768	75760	0.5842924459041424
23768	322434	0.5810469748270166
23768	433734	0.5792125594218678
23768	78568	0.5768814770036937
23814	108580	0.8535685130002082
23814	95868	0.8522927563587691
23814	61448	0.8480374717296387
23814	477252	0.8294061062451594
23814	75642	0.8222163232534699
23814	98330	0.8026123970916329
23814	337787	0.7887404968242857
23814	96315	0.7848016597841103
23814	482080	0.7822215509309356
23814	240137	0.7807355870716627
23814	126860	0.7758336316392577
23814	331874	0.7746580515768069
23814	479622	0.7709195214050306
23814	202037	0.76978159275255
23814	370821	0.7649834178024169
23814	368503	0.7630855836074155
23814	54978	0.7597995261258819
23814	200738	0.7358428094936287
23814	441155	0.7348770615855859
23814	484771	0.7303085417022707
28091	337500	0.5605955586379818
28091	115091	0.5597458530172722
28091	237357	0.5587768660550124
28091	339191	0.5512405116208016
28091	361323	0.5448413396931886
28091	318806	0.537166876368873
28091	458554	0.5296911747306751
28091	260251	0.5290808057922082
28091	308145	0.5269286130709747
28091	151937	0.5185183320604642
28091	66211	0.5158675775736055
28091	218235	0.5129855787423148
28091	250657	0.5104305622760723
28091	239380	0.5099736431080006
28091	206629	0.5055804358735447
28091	338284	0.5048054078355999
28091	122885	0.5014413884893438
28091	24525	0.5007768265241311
28091	376455	0.4984345797342915
28091	310203	0.49473677456255405
34581	202661	0.8434871557053742
34581	2461	0.7796114531116096
34581	453454	0.5949326460542971
34581	433719	0.5835602671163294
34581	362895	0.5750972403883712
34581	165842	0.5745533295716811
34581	200594	0.5738692615137226
34581	205765	0.5736950223506425
34581	112299	0.5733687582175943
34581	3886	0.5710663074462287
34581	349807	0.5704683441056941
34581	145646	0.5691968784575672
