source_id	target_id	similarity
2784	328926	81.84336869397592
2784	269179	79.88603829762191
2784	301362	79.23457110100793
2784	432639	78.49136769025667
2784	414727	78.35021717956361
2784	316603	78.27769258750578
2784	246826	77.8348774833574
2784	453585	76.48698526716517
2784	236382	76.33017749262072
2784	465819	76.08975466546127
2784	239218	75.7597428780875
2784	371067	75.73947956608352
2784	435759	75.488977397361
2784	430421	75.4189102559322
2784	370748	75.3455753596208
2784	375490	74.72244084494515
2784	7599	74.3087338140943
2784	281954	74.22856771600654
2784	200001	73.93389847445225
2784	400628	73.88526463935055
12057	259131	79.04648608106692
12057	178184	78.23204481030199
12057	19	75.31985039882743
12057	70568	75.31985039882743
12057	244537	75.31985039882743
12057	460560	75.31985039882743
12057	214322	74.4370653415747
12057	139892	73.62262407080976
12057	151418	73.62262407080976
12057	423701	73.62262407080976
12057	444517	73.62262407080976
12057	24168	70.7104296593352
12057	176020	70.7104296593352
12057	262194	70.7104296593352
12057	271520	70.7104296593352
12057	417027	70.7104296593352
12057	56977	68.98591996262344
12057	133436	68.17693621405395
12057	38947	67.95069110156524
12057	167197	67.95069110156524
19620	480559	49.76611227599515
19620	230639	48.63734860016083
19620	397665	46.42967152024109
19620	250145	44.01139533521138
19620	174238	43.92306431949206
19620	241783	43.896339615997356
19620	309156	43.3488487915595
19620	49110	43.1970795282944
19620	450883	43.035372102907395
19620	31223	42.91292190476477
19620	25976	42.787213800101654
19620	318273	42.63988168112731
19620	3049	42.60065229719878
19620	247464	42.3908234471559
19620	310647	42.22425609231689
19620	397120	41.94643675058717
19620	202146	41.63917754485783
19620	101860	41.49373396964296
19620	111599	41.30364208679355
19620	232009	41.28343905443341
23768	41205	58.72798436645992
23768	273425	55.01447979183476
23768	433734	53.54671369532461
23768	182482	53.218588869520524
23768	314137	53.0782121467011
23768	430074	52.58778595059229
23768	463273	52.52619012473614
23768	443940	50.753815815951505
23768	372635	50.16644509995681
23768	393220	50.14235827137424
23768	276132	48.7478109351564
23768	245646	48.474082869418396
23768	167259	48.42191208730665
23768	144649	48.2790604056833
23768	103395	46.31733251687173
23768	73719	46.31611572418532
23768	59348	46.18654585284441
23768	6849	45.91066134393821
23768	287369	45.54440233669529
23768	334566	45.52002071118943
23814	98330	104.06490468773619
23814	95868	56.31639668837639
23814	108580	55.43170285038627
23814	61448	52.66803941311946
23814	337787	52.15376989358405
23814	477252	52.01144210433115
23814	54978	50.03225169221276
23814	119064	49.99783687730629
23814	58949	49.48756299551465
23814	196802	49.220413216067556
23814	96315	48.956972241899805
23814	482080	48.956972241899805
23814	273360	48.89690881564773
23814	75642	48.78802163335107
23814	380737	48.611724424945656
23814	50576	48.52756167829666
23814	370821	48.45813172609158
23814	353885	48.29937153030409
23814	368503	48.07535425756821
23814	441155	47.822330857955585
28091	471249	44.701766900888586
28091	475893	42.85371361288667
28091	300834	40.6120302789239
28091	390718	40.56549061742357
28091	389266	40.0783036381499
28091	386419	39.82433563061971
28091	401333	39.587031522128925
28091	206629	39.5573411192814
28091	239380	39.436976197607294
28091	183761	39.19387523561737
28091	80734	37.540620626255354
28091	13264	37.51445712243343
28091	345965	36.806460044749926
28091	233052	36.67858290502338
28091	259531	36.61590611455437
28091	59900	36.55454342415774
28091	124431	36.223666414220325
28091	86075	36.20103974314754
28091	331595	36.11486744885581
28091	261189	36.11274609687301
34581	202661	98.02134743898486
34581	2461	91.06460293926098
34581	78210	67.68568662844281
34581	95098	67.02986467959897
34581	13064	66.61374082423212
34581	111711	66.46517209078955
34581	255007	64.0860297958799
34581	271501	63.87855826573841
34581	453454	63.131037184943935
34581	448817	60.976358354452564
34581	316333	60.71799231259502
34581	349807	59.78414782800484
34581	205765	59.395485596059814
34581	432168	58.685077846181976
34581	450124	58.4395662588018
34581	76795	57.24107621858558
34581	338135	56.747591460732345
34581	266136	55.52349285992898
34581	177855	55.48657359149328
34581	328745	54.08847126273574
46930	158502	66.20827464998938
46930	26673	63.89580317366986
46930	90235	63.21699853024478
46930	255160	62.13833462096911
46930	372652	61.1152252704453
46930	368132	61.087783043816074
46930	346898	60.015356506238135
46930	104018	59.72854916846329
46930	188367	59.306920324279474
46930	177688	59.09235420602029
46930	27986	58.53507175552698
46930	132116	58.4405012475101
46930	205804	58.107342104166776
46930	164713	57.410005292035436
46930	112020	57.31256745932644
46930	74958	57.15547980691121
46930	413605	57.11689972092779
46930	10001	57.05931824815286
46930	157610	56.98629127517231
46930	137419	56.819952828224004
51579	269962	63.11332290475985
51579	35515	61.44512725652648
51579	430932	60.53444761239481
