source_id	target_id
2784	432639
2784	246826
2784	370748
2784	212981
2784	243027
2784	78644
2784	10867
2784	15418
2784	86110
2784	110963
2784	77053
2784	58313
2784	458437
2784	469331
2784	90523
2784	400628
2784	260767
2784	168644
2784	203638
2784	222768
12057	19
12057	460560
12057	178184
12057	70568
12057	244537
12057	259131
12057	423701
12057	271520
12057	139892
12057	214322
12057	24168
12057	417027
12057	444517
12057	153060
12057	66509
12057	45941
12057	344949
12057	388888
12057	326187
12057	436833
19620	266139
19620	325606
19620	387822
19620	418126
19620	445956
19620	360646
19620	428575
19620	314710
19620	482375
19620	51154
19620	87072
19620	448285
19620	121786
19620	80674
19620	119862
19620	69703
19620	11379
19620	35269
19620	132431
19620	389451
23768	372635
23768	103395
23768	41205
23768	430074
23768	431768
23768	314137
23768	229571
23768	6849
23768	463273
23768	153956
23768	436217
23768	80352
23768	136990
23768	324716
23768	276132
23768	60441
23768	193395
23768	78568
23768	459761
23768	245646
23814	108580
23814	61448
23814	95868
23814	75642
23814	98330
23814	477252
23814	140583
23814	326535
23814	54978
23814	331874
23814	240137
23814	353885
23814	96315
23814	370821
23814	368503
23814	169148
23814	202037
23814	126860
23814	479622
23814	337787
28091	428419
28091	303509
28091	361323
28091	330112
28091	337500
28091	237357
28091	124431
28091	310233
28091	355853
28091	352356
28091	281603
28091	175614
28091	143656
28091	130627
28091	38851
28091	266136
28091	257289
28091	447727
28091	313798
28091	110100
34581	202661
34581	2461
34581	453454
34581	338135
34581	323664
34581	27373
34581	306370
34581	165842
34581	124828
34581	141989
34581	49615
34581	194132
34581	448817
34581	133288
34581	432168
34581	349807
34581	205765
34581	78210
34581	81846
34581	48984
46930	305899
46930	382247
46930	375504
46930	34800
46930	295769
46930	169057
46930	65256
46930	90235
46930	26673
46930	390431
46930	461199
46930	346898
46930	341321
46930	476102
46930	139365
46930	125681
46930	158502
46930	197493
46930	295389
46930	100097
51579	40993
51579	63181
51579	122581
51579	38210
51579	435037
51579	47495
51579	344168
51579	452740
51579	56846
51579	271682
51579	12467
51579	352118
51579	18853
51579	431550
51579	8672
51579	483815
51579	225396
51579	257027
51579	57064
51579	484865
62560	281387
62560	304395
62560	480838
62560	320875
62560	421930
62560	330726
62560	417408
62560	9384
62560	200303
62560	193152
62560	193710
62560	116559
62560	321093
62560	356362
62560	256247
62560	326480
62560	462131
62560	67761
62560	321564
62560	111696
96556	309155
96556	106143
96556	338783
96556	208906
96556	17059
96556	351091
96556	301075
96556	437980
96556	342048
96556	481848
96556	140384
96556	190516
96556	333666
96556	258099
96556	145434
96556	113082
96556	239325
96556	179163
96556	372153
96556	64301
97000	236153
97000	81546
97000	163389
97000	341809
97000	15733
97000	369880
97000	87354
97000	27850
97000	158882
97000	45097
97000	70162
97000	381120
97000	231444
97000	235778
97000	243582
97000	67041
97000	381868
97000	165094
97000	446289
97000	131577
105587	416100
105587	433719
105587	451743
105587	189045
105587	195830
105587	55867
105587	458953
105587	106766
105587	184948
105587	253978
105587	34804
105587	182179
105587	88733
105587	288283
105587	223226
105587	242336
105587	112299
105587	186841
105587	179890
105587	59900
109969	91888
109969	446859
109969	165339
109969	186082
109969	238853
109969	138732
109969	449230
109969	228141
109969	72964
109969	167326
109969	125419
109969	336757
109969	224648
109969	359914
109969	269392
109969	183532
109969	421094
109969	472771
109969	360187
109969	60480
130887	283813
130887	211238
130887	307277
130887	141143
130887	35743
130887	128065
130887	317184
130887	126432
130887	130009
130887	439954
130887	208119
130887	359584
130887	371383
130887	368611
130887	389696
130887	328270
130887	106332
130887	254385
130887	403681
130887	6440
147430	278026
147430	80789
147430	474072
147430	229571
147430	356533
147430	46038
147430	466071
147430	481497
147430	353811
147430	73719
147430	75500
147430	449154
147430	58860
147430	66142
147430	201369
147430	10238
147430	402628
147430	458108
147430	136900
147430	473045
157489	287414
157489	306819
157489	338972
157489	422806
157489	266592
157489	327373
157489	18476
157489	445539
157489	434318
157489	407261
157489	54410
157489	341111
157489	220535
157489	116422
157489	124580
157489	483051
157489	308087
157489	339860
157489	74954
157489	392523
170901	365398
170901	98393
170901	279499
170901	77041
170901	301907
170901	198148
170901	44900
170901	252784
170901	472510
170901	16073
170901	474182
170901	293784
170901	454481
170901	479452
170901	43834
170901	31772
170901	21998
170901	408214
170901	223432
170901	164226
178244	340511
178244	428793
178244	146211
178244	245989
178244	10104
178244	64343
178244	318905
178244	172245
178244	158018
178244	36751
178244	129658
178244	124686
178244	339813
178244	484366
178244	485630
178244	50809
178244	383330
178244	150176
178244	340227
178244	130296
180411	103444
180411	460994
180411	318033
180411	389630
180411	397151
180411	248147
180411	164486
180411	16841
180411	479769
180411	421963
180411	417490
180411	233586
180411	7617
180411	442883
180411	84490
180411	473158
180411	30200
180411	299041
180411	382498
180411	331172
188481	375157
188481	304909
188481	174597
188481	88885
188481	226036
188481	406065
188481	166213
188481	359962
188481	373812
188481	270456
188481	281328
188481	301741
188481	161885
188481	152103
188481	477329
188481	229638
188481	401508
188481	455594
188481	80794
188481	178033
194912	33573
194912	444873
194912	12995
194912	328706
194912	253284
194912	283031
194912	477582
194912	165733
194912	328761
194912	90645
194912	241379
194912	186033
194912	249581
194912	357675
194912	260556
194912	425562
194912	485335
194912	302989
194912	277597
194912	69492
198100	158627
198100	60655
198100	34574
198100	53153
198100	129848
198100	149154
198100	464978
198100	473253
198100	371012
198100	391453
198100	3380
198100	318752
198100	307340
198100	175904
198100	40493
198100	73433
198100	259817
198100	333476
198100	163267
198100	419503
209500	215415
209500	184699
209500	461238
209500	409410
209500	435390
209500	305899
209500	76574
209500	127536
209500	314991
209500	413605
209500	268895
209500	238152
209500	34800
209500	118215
209500	410923
209500	43778
209500	21909
209500	408342
209500	115951
209500	395394
215415	209500
215415	435390
215415	34800
215415	294305
215415	305899
215415	268895
215415	303278
215415	409410
215415	344144
215415	413605
215415	476102
215415	234083
215415	326669
215415	156877
215415	43778
215415	76574
215415	265969
215415	59476
215415	163073
215415	424545
238209	467751
238209	384169
238209	52587
238209	353553
238209	67802
238209	50297
238209	268638
238209	40115
238209	195258
238209	224417
238209	465635
238209	417350
238209	319041
238209	13805
238209	472034
238209	445678
238209	375490
238209	229600
238209	239218
238209	200001
246035	421575
246035	281855
246035	394726
246035	220030
246035	122991
246035	484740
246035	364852
246035	436834
246035	424266
246035	108637
246035	200049
246035	58625
246035	236099
246035	435531
246035	329740
246035	374343
246035	293127
246035	182035
246035	330963
246035	31117
247997	263285
247997	39472
247997	109267
247997	200145
247997	6062
247997	168331
247997	145261
247997	429934
247997	231444
247997	163389
247997	81546
247997	381120
247997	235778
247997	243582
247997	70162
247997	369880
247997	45097
247997	158882
247997	341809
247997	27850
261419	23544
261419	461960
261419	3684
261419	172504
261419	438558
261419	402598
261419	302175
261419	155547
261419	299320
261419	56981
261419	425241
261419	342947
261419	10106
261419	380369
261419	109561
261419	84254
261419	193163
261419	432677
261419	38041
261419	291361
276555	391952
276555	78545
276555	172401
276555	76595
276555	121572
276555	402833
276555	226968
276555	103188
276555	195810
276555	356654
276555	86906
276555	192800
276555	236990
276555	178883
276555	278379
276555	340958
276555	223763
276555	360518
276555	45660
276555	239842
279555	204449
279555	90387
279555	438299
279555	310811
279555	423534
279555	181040
279555	172085
279555	345986
279555	90523
279555	400628
279555	212981
279555	243027
279555	458437
279555	469331
279555	77053
279555	58313
279555	110963
279555	78644
279555	86110
279555	15418
281603	337500
281603	237357
281603	335022
281603	116088
281603	447727
281603	368746
281603	240729
281603	318806
281603	404196
281603	468886
281603	104037
281603	316333
281603	318068
281603	136514
281603	5429
281603	124431
281603	285079
281603	78871
281603	417137
281603	293739
286775	55675
286775	474217
286775	37953
286775	118348
286775	477836
286775	360360
286775	147327
286775	412702
286775	245007
286775	236506
286775	283605
286775	394091
286775	95929
286775	81689
286775	460103
286775	284732
286775	9798
286775	75525
286775	8633
286775	429308
299355	406689
299355	318887
299355	262238
299355	203368
299355	476889
299355	171904
299355	75613
299355	179337
299355	94413
299355	234849
299355	66660
299355	375974
299355	196839
299355	364669
299355	429546
299355	73474
299355	363315
299355	134902
299355	73998
299355	313846
303297	202749
303297	190360
303297	38851
303297	349845
303297	248455
303297	203825
303297	237533
303297	13389
303297	96811
303297	168601
303297	326516
303297	299128
303297	51202
303297	463467
303297	472596
303297	163170
303297	318068
303297	240729
303297	271843
303297	266283
309796	141136
309796	211091
309796	174799
309796	460493
309796	305106
309796	196982
309796	76535
309796	374980
309796	259638
309796	259120
309796	128345
309796	381153
309796	78915
309796	307629
309796	348868
309796	172873
309796	448166
309796	80570
309796	262255
309796	346308
322697	219824
322697	207034
322697	455990
322697	190312
322697	200159
322697	169683
322697	5643
322697	320245
322697	402447
322697	349500
322697	201333
322697	265220
322697	765
322697	56531
322697	418016
322697	24311
322697	91797
322697	216096
322697	103994
322697	435313
358093	308626
358093	247957
358093	152190
358093	76562
358093	368128
358093	229090
358093	128283
358093	428250
358093	449089
358093	123359
358093	79938
358093	54131
358093	146079
358093	324008
358093	332697
358093	391428
358093	428319
358093	278963
358093	373683
358093	82287
367410	748
367410	196349
367410	272325
367410	199261
367410	68798
367410	319087
367410	102155
367410	47385
367410	162966
367410	93053
367410	231052
367410	350956
367410	125876
367410	221025
367410	61085
367410	293830
367410	231608
367410	18550
367410	56846
367410	130546
373991	53235
373991	343374
373991	50655
373991	394407
373991	257663
373991	61093
373991	291048
373991	325334
373991	289107
373991	297029
373991	474569
373991	221363
373991	408432
373991	213256
373991	442855
373991	252319
373991	140074
373991	151193
373991	135756
373991	205893
378273	103718
378273	102104
378273	167234
378273	64731
378273	108201
378273	84841
378273	420164
378273	128018
378273	29772
378273	281957
378273	208940
378273	65601
378273	101229
378273	435898
378273	306401
378273	239417
378273	179929
378273	257439
378273	145566
378273	175767
397450	480764
397450	43432
397450	368368
397450	93547
397450	216508
397450	440
397450	8994
397450	212039
397450	318288
397450	72125
397450	375068
397450	407486
397450	202803
397450	27061
397450	316932
397450	362526
397450	55421
397450	394922
397450	51184
397450	395782
400484	168601
400484	326516
400484	266283
400484	271843
400484	205417
400484	191223
400484	258221
400484	240485
400484	229466
400484	264055
400484	465397
400484	89177
400484	200597
400484	385101
400484	217635
400484	13389
400484	390949
400484	415802
400484	362654
400484	368810
402272	257815
402272	417673
402272	359197
402272	65904
402272	105045
402272	120509
402272	427910
402272	389212
402272	42798
402272	54142
402272	440358
402272	336635
402272	214271
402272	230127
402272	436240
402272	239191
402272	135648
402272	395674
402272	95452
402272	158139
408519	163456
408519	437380
408519	29992
408519	459156
408519	156614
408519	269723
408519	96714
408519	100498
408519	189785
408519	414421
408519	223554
408519	362369
408519	233149
408519	88774
408519	268094
408519	11582
408519	47272
408519	34852
408519	470619
408519	91668
430604	459966
430604	110308
430604	151456
430604	221676
430604	83472
430604	146626
430604	3632
430604	89273
430604	188381
430604	461429
430604	197731
430604	316466
430604	160450
430604	313649
430604	242388
430604	49928
430604	180924
430604	452239
430604	7474
430604	327351
453004	209424
453004	211091
453004	172154
453004	128892
453004	413312
453004	273007
453004	33376
453004	240447
453004	305106
453004	174799
453004	463739
453004	49289
453004	76535
453004	56804
453004	476514
453004	464994
453004	103432
453004	407259
453004	74120
453004	16565
454748	71781
454748	482630
454748	413605
454748	312796
454748	183923
454748	50092
454748	330762
454748	37829
454748	425164
454748	230540
454748	472628
454748	392476
454748	345137
454748	386771
454748	141991
454748	354921
454748	375475
454748	485446
454748	197062
454748	407862
462743	477139
462743	382288
462743	443485
462743	351788
462743	475206
462743	186970
462743	275047
462743	466028
462743	104668
462743	133582
462743	107700
462743	342664
462743	290879
462743	417953
462743	3793
462743	389835
462743	279877
462743	83798
462743	397751
462743	313150
464543	385358
464543	172603
464543	366437
464543	410013
464543	448156
464543	55047
464543	93211
464543	188620
464543	430992
464543	68309
464543	284553
464543	13662
464543	327761
464543	152514
464543	21134
464543	338547
464543	287124
464543	230511
464543	476891
464543	286638
