source_id	target_id
2784	277204
2784	7599
2784	41581
2784	44956
2784	96278
2784	169550
2784	170889
2784	223239
2784	270796
2784	350650
2784	476974
2784	103772
2784	117247
2784	211864
2784	214582
2784	262429
2784	314505
2784	393366
2784	430490
2784	466689
12057	19
12057	70568
12057	178184
12057	244537
12057	259131
12057	460560
12057	24168
12057	139892
12057	151418
12057	176020
12057	214322
12057	262194
12057	271520
12057	417027
12057	423701
12057	444517
12057	35139
12057	240491
12057	249839
12057	278513
19620	267519
19620	391612
19620	176417
19620	219707
19620	249584
19620	372140
19620	373805
19620	66197
19620	72972
19620	204173
19620	239399
19620	311865
19620	347681
19620	349978
19620	358250
19620	368038
19620	388995
19620	5083
19620	26509
19620	34428
23768	140608
23768	147228
23768	328285
23768	485282
23768	164625
23768	389346
23768	485152
23768	123645
23768	140344
23768	179991
23768	211180
23768	215674
23768	218717
23768	265540
23768	337664
23768	421966
23768	17977
23768	47979
23768	51792
23768	82977
23814	98330
23814	180965
23814	255158
23814	32336
23814	55304
23814	77551
23814	220085
23814	273848
23814	59347
23814	64121
23814	76433
23814	85274
23814	92803
23814	142595
23814	151368
23814	243922
23814	244309
23814	254478
23814	349864
23814	351920
28091	101650
28091	25790
28091	51137
28091	164447
28091	395301
28091	18817
28091	40097
28091	50914
28091	53343
28091	53753
28091	67022
28091	92963
28091	119364
28091	122008
28091	134470
28091	154547
28091	170343
28091	191356
28091	231178
28091	232674
34581	301218
34581	412790
34581	76843
34581	137004
34581	138164
34581	185512
34581	221195
34581	315205
34581	324330
34581	2461
34581	73791
34581	318883
34581	438653
34581	1992
34581	9407
34581	11038
34581	22259
34581	22375
34581	47773
34581	88471
46930	192426
46930	244103
46930	47927
46930	181882
46930	271813
46930	284224
46930	304509
46930	431266
46930	438330
46930	68911
46930	71060
46930	103317
46930	108001
46930	115128
46930	124563
46930	133764
46930	154189
46930	197823
46930	208758
46930	235194
51579	202305
51579	124189
51579	144457
51579	146634
51579	211816
51579	235005
51579	21080
51579	85437
51579	152068
51579	161500
51579	166782
51579	178319
51579	269962
51579	299750
51579	307947
51579	349464
51579	358027
51579	362225
51579	365885
51579	385896
62560	286617
62560	417408
62560	67761
62560	412541
62560	109761
62560	137540
62560	173520
62560	323459
62560	342998
62560	386864
62560	404552
62560	735
62560	89111
62560	102755
62560	115193
62560	148603
62560	249321
62560	358778
62560	386472
62560	389171
96556	283818
96556	81606
96556	281144
96556	104001
96556	141582
96556	395951
96556	32204
96556	76865
96556	89218
96556	115921
96556	124829
96556	153911
96556	276382
96556	285280
96556	292218
96556	387126
96556	398267
96556	442399
96556	467350
96556	2185
97000	236153
97000	2004
97000	429934
97000	127240
97000	165094
97000	170233
97000	210025
97000	228078
97000	254399
97000	381868
97000	435675
97000	8680
97000	43974
97000	108904
97000	164366
97000	218096
97000	224413
97000	227579
97000	253168
97000	268010
105587	123896
105587	193670
105587	247532
105587	439262
105587	239729
105587	300418
105587	300953
105587	304843
105587	308521
105587	321350
105587	349491
105587	392616
105587	400587
105587	422617
105587	430297
105587	14020
105587	23393
105587	28434
105587	38453
105587	47429
109969	472771
109969	167326
109969	138732
109969	215890
109969	363493
109969	260729
109969	415247
109969	50271
109969	80059
109969	105258
109969	191519
109969	224648
109969	300069
109969	346119
109969	366199
109969	398126
109969	420601
109969	438050
109969	443764
109969	11024
130887	368611
130887	371383
130887	126432
130887	211238
130887	307277
130887	317184
130887	331809
130887	471588
130887	1991
130887	17686
130887	22615
130887	32256
130887	94204
130887	130009
130887	179841
130887	212218
130887	233598
130887	298437
130887	439954
130887	440411
147430	143673
147430	247858
147430	38165
147430	89606
147430	118464
147430	148144
147430	167022
147430	175857
147430	196966
147430	222906
147430	340130
147430	476374
147430	823
147430	16291
147430	39157
147430	86162
147430	86336
147430	95990
147430	121332
147430	129503
157489	70735
157489	339860
157489	28688
157489	62655
157489	189015
157489	306819
157489	311498
157489	457842
157489	9932
157489	88524
157489	253085
157489	364520
157489	372045
157489	3699
157489	20430
157489	28000
157489	50383
157489	89190
157489	103084
157489	104751
170901	44900
170901	198148
170901	299093
170901	293985
170901	301908
170901	109395
170901	252784
170901	365398
170901	442675
170901	19911
170901	21998
170901	24215
170901	35733
170901	46228
170901	54447
170901	217516
170901	408907
170901	448745
170901	61181
170901	81524
178244	28906
178244	57878
178244	132680
178244	192566
178244	268675
178244	346171
178244	430231
178244	21064
178244	21515
178244	27895
178244	56584
178244	61769
178244	97065
178244	105225
178244	126793
178244	197284
178244	245015
178244	273130
178244	348439
178244	366479
180411	233586
180411	460994
180411	17595
180411	55421
180411	473158
180411	26693
180411	62436
180411	103444
180411	156999
180411	284852
180411	362526
180411	421963
180411	286248
180411	318033
180411	157597
180411	333963
180411	359579
180411	376952
180411	433652
180411	442863
188481	305409
188481	455352
188481	28573
188481	78812
188481	301741
188481	321945
188481	335036
188481	16033
188481	77580
188481	123735
188481	124408
188481	151340
188481	154069
188481	167752
188481	168826
188481	199259
188481	208991
188481	294230
188481	308753
188481	323858
194912	12995
194912	33573
194912	69492
194912	232374
194912	277597
194912	444873
194912	175464
194912	192083
194912	249581
194912	260556
194912	357675
194912	409078
194912	425562
194912	42641
194912	44541
194912	101688
194912	176529
194912	177506
194912	179776
194912	202141
198100	40493
198100	175904
198100	326924
198100	73433
198100	244981
198100	310962
198100	323703
198100	423848
198100	40557
198100	60655
198100	259817
198100	312712
198100	317166
198100	333476
198100	372832
198100	397834
198100	399137
198100	473206
198100	2029
198100	19612
209500	34932
209500	40151
209500	108882
209500	191233
209500	215415
209500	239219
209500	258148
209500	442482
209500	5393
209500	36117
209500	41370
209500	52667
209500	83906
209500	159393
209500	164918
209500	186417
209500	247402
209500	281959
209500	305058
209500	389679
215415	5232
215415	61626
215415	155347
215415	170668
215415	209500
215415	24788
215415	39388
215415	43778
215415	63645
215415	86396
215415	117016
215415	126741
215415	169256
215415	174126
215415	177481
215415	281767
215415	313466
215415	327936
215415	352564
215415	368275
238209	58926
238209	200351
238209	372915
238209	4130
238209	4230
238209	13587
238209	44784
238209	131885
238209	151709
238209	162641
238209	329930
238209	364675
238209	376012
238209	402301
238209	403598
238209	417019
238209	455125
238209	475448
238209	25594
238209	29673
246035	325467
246035	155075
246035	281855
246035	421575
246035	94857
246035	121452
246035	134903
246035	467277
246035	477482
246035	9213
246035	24161
246035	42082
246035	46406
246035	68732
246035	78554
246035	113231
246035	202867
246035	214427
246035	215816
246035	223029
247997	263285
247997	203818
247997	6062
247997	21680
247997	42755
247997	59368
247997	89091
247997	147281
247997	200145
247997	240225
247997	259846
247997	6091
247997	15733
247997	28647
247997	48792
247997	57947
247997	58570
247997	81053
247997	107859
247997	125502
261419	109561
261419	226206
261419	288910
261419	311689
261419	125814
261419	383945
261419	56981
261419	64672
261419	266568
261419	438558
261419	269049
261419	351003
261419	425241
261419	3684
261419	16951
261419	26369
261419	35690
261419	39475
261419	48561
261419	94013
276555	71480
276555	257065
276555	358800
276555	415379
276555	326754
276555	380731
276555	457959
276555	57188
276555	121227
276555	169326
276555	220634
276555	276309
276555	284999
276555	394518
276555	411093
276555	425808
276555	433224
276555	454896
276555	461185
276555	744
279555	118730
279555	230591
279555	308159
279555	312413
279555	448887
279555	13307
279555	23654
279555	41890
279555	59468
279555	136476
279555	157845
279555	261388
279555	271465
279555	292839
279555	305415
279555	312758
279555	334597
279555	339467
279555	383439
279555	400299
281603	13295
281603	282720
281603	49348
281603	122647
281603	213038
281603	244224
281603	440298
281603	200854
281603	203462
281603	206415
281603	219102
281603	385291
281603	9068
281603	9582
281603	19113
281603	22626
281603	29092
281603	31928
281603	54816
281603	81055
286775	55675
286775	407868
286775	14329
286775	465531
286775	5442
286775	15565
286775	61852
286775	185190
286775	189496
286775	287922
286775	372071
286775	376001
286775	376390
286775	433740
286775	483865
286775	8534
286775	105186
286775	110840
286775	134424
286775	177758
299355	15114
299355	80014
299355	94226
299355	319982
299355	325233
299355	350765
299355	355248
299355	357226
299355	401715
299355	444343
299355	19395
299355	22083
299355	59633
299355	69699
299355	90381
299355	91658
299355	141466
299355	285351
299355	301876
299355	380595
303297	297860
303297	41194
303297	53708
303297	105811
303297	117705
303297	162238
303297	252190
303297	279272
303297	348598
303297	5675
303297	48907
303297	61948
303297	107446
303297	115032
303297	132611
303297	155578
303297	202495
303297	219899
303297	231540
303297	235540
309796	48440
309796	103623
309796	153576
309796	235398
309796	95772
309796	214677
309796	33322
309796	72788
309796	161503
309796	167935
309796	175036
309796	179998
309796	215307
309796	217598
309796	246388
309796	286114
309796	301451
309796	312972
309796	345871
309796	372631
322697	219824
322697	394958
322697	29604
322697	66482
322697	96319
322697	349500
322697	200996
322697	211447
322697	279067
322697	303335
322697	359984
322697	475742
322697	28343
322697	63597
322697	65414
322697	78151
322697	81008
322697	92861
322697	215861
322697	219210
358093	3929
358093	27391
358093	79938
358093	164535
358093	247957
358093	248346
358093	308626
358093	358824
358093	25815
358093	26459
358093	53029
358093	76562
358093	88822
358093	97788
358093	128244
358093	128837
358093	143394
358093	152190
358093	214694
358093	224865
367410	748
367410	249249
367410	2125
367410	46388
367410	204161
367410	289240
367410	300394
367410	393980
367410	20422
367410	38094
367410	52670
367410	86317
367410	122188
367410	146546
367410	393938
367410	409989
367410	425136
367410	452751
367410	13757
367410	20645
373991	257663
373991	396102
373991	267511
373991	343374
373991	350621
373991	485622
373991	23596
373991	41248
373991	80459
373991	109576
373991	135756
373991	151193
373991	162585
373991	172922
373991	205893
373991	229474
373991	252319
373991	289107
373991	295094
373991	297029
378273	103718
378273	84841
378273	249851
378273	420164
378273	484671
378273	22969
378273	43498
378273	70491
378273	77803
378273	102104
378273	167234
378273	182993
378273	197427
378273	201133
378273	229238
378273	231469
378273	404064
378273	409496
378273	427061
378273	323
397450	72125
397450	264192
397450	341888
397450	8994
397450	118135
397450	136483
397450	187514
397450	316932
397450	93547
397450	146613
397450	212039
397450	262670
397450	322280
397450	386713
397450	1192
397450	216508
397450	375068
397450	233018
397450	240062
397450	318288
400484	4087
400484	222726
400484	54866
400484	447950
400484	478980
400484	6940
400484	84242
400484	144972
400484	186341
400484	199374
400484	213725
400484	226351
400484	230640
400484	232500
400484	240485
400484	241693
400484	258221
400484	276270
400484	287343
400484	359831
402272	6320
402272	158139
402272	347329
402272	116648
402272	118057
402272	246450
402272	196947
402272	271025
402272	27231
402272	108203
402272	143440
402272	152890
402272	162946
402272	246777
402272	258789
402272	275235
402272	297159
402272	333009
402272	335188
402272	342781
408519	163456
408519	292369
408519	173015
408519	380729
